TPP_FSO_CapEuclideo.350.200.99.4
Total Cost:2569
|M*|: 48
Depot
Market 161
46	1
76	1
106	3
115	2
134	5
144	7
145	8
155	6
174	4
176	1
187	2
190	4
198	9
Market 207
69	3
70	4
75	11
154	11
179	9
Market 287
16	8
24	6
31	1
42	15
70	14
83	2
84	6
99	13
101	2
145	4
166	2
184	9
186	6
Market 197(F)
22	2
73	11
93	6
140	6
162	6
189	11
195	8
Market 81
1	6
33	2
97	4
125	4
135	1
152	4
182	5
191	5
193	4
Market 335
58	2
66	4
71	1
83	1
94	3
107	7
148	1
Market 325
6	5
41	10
86	4
109	10
161	2
170	10
178	4
180	7
Market 252
11	8
38	3
91	12
118	7
123	11
144	5
154	1
166	3
168	2
Market 5
53	7
55	4
60	13
89	9
120	2
144	5
164	2
173	7
Market 122(F)
6	7
8	11
11	7
15	6
18	2
21	6
25	1
33	2
36	1
39	10
51	3
79	3
104	6
105	10
106	4
111	3
121	11
135	1
151	1
200	13
Market 308
47	4
69	3
99	1
121	1
124	9
149	11
Market 189
25	1
47	6
100	4
115	3
134	8
160	8
193	4
Market 41
22	2
80	7
100	3
106	4
112	4
142	5
159	2
177	12
Market 290
8	14
19	5
30	4
48	2
56	8
70	5
77	13
78	11
88	5
105	2
119	10
124	7
158	6
190	11
196	3
Market 44
4	2
14	8
18	9
26	1
28	4
32	3
41	14
45	10
89	8
96	6
106	10
131	10
137	13
157	9
189	13
190	4
197	1
Market 181
24	8
27	10
59	2
65	3
69	2
72	15
80	10
112	5
116	14
126	12
154	1
165	7
166	6
171	9
172	10
196	2
198	7
Market 164
24	8
33	2
35	5
50	2
121	5
129	6
130	5
134	7
137	12
153	11
158	9
184	10
188	5
Market 336
2	1
12	13
88	13
139	2
164	10
Market 6(F)
9	11
34	7
49	6
59	9
88	3
94	3
122	3
136	3
143	1
147	7
163	1
167	6
168	8
169	1
171	8
185	14
Market 53
9	1
17	4
30	7
43	11
44	3
77	8
86	5
89	5
90	5
110	6
132	3
135	9
145	7
159	6
175	15
184	3
190	8
192	15
196	4
199	6
Market 245
46	7
57	2
69	2
148	7
149	8
166	5
172	2
Market 242
14	1
29	4
56	12
64	4
65	3
69	2
115	6
161	15
167	2
169	1
Market 152
17	9
47	8
54	6
117	1
132	3
Market 232
29	9
32	13
62	2
67	4
106	3
116	8
127	8
133	11
140	9
Market 210
4	2
10	9
22	1
29	1
53	5
64	7
76	6
83	8
135	2
143	3
156	8
162	1
Market 296
20	4
39	10
49	3
74	6
81	15
85	5
86	2
92	6
103	3
106	1
138	5
152	8
177	1
Market 222
19	1
43	4
64	3
72	3
81	1
93	14
100	2
103	9
116	2
120	4
121	8
123	12
146	9
189	2
Market 55
14	4
27	3
49	2
57	7
65	13
83	10
95	13
153	4
186	4
Market 279
46	3
53	2
102	6
146	2
148	6
151	8
176	12
186	12
Market 153
15	10
87	8
98	1
105	7
137	2
143	7
148	11
149	4
150	3
159	11
186	2
196	10
Market 284
5	7
29	1
57	6
65	4
106	2
Market 3
23	4
38	3
44	15
45	5
46	7
50	13
64	3
113	9
114	2
125	15
140	4
154	8
158	3
180	4
182	2
183	7
Market 324
3	11
15	4
29	1
35	7
73	2
100	4
116	4
Market 39
36	7
46	7
52	2
78	2
87	2
108	6
111	13
115	3
128	5
143	5
182	1
Market 225
124	1
132	1
140	1
144	2
156	5
167	11
174	14
176	6
197	4
200	8
Market 334
3	2
8	2
12	6
32	5
140	4
142	6
169	14
Market 168
19	10
26	13
67	3
86	2
120	1
127	5
153	11
157	5
174	7
Market 23
2	3
11	1
19	1
40	2
43	7
70	2
135	13
141	2
170	11
Market 196
9	9
38	5
63	4
129	8
130	4
152	7
188	5
Market 219
2	7
33	11
49	15
69	13
80	8
120	2
130	12
144	3
155	8
157	13
172	4
175	2
177	9
185	8
192	6
198	2
Market 169
4	14
24	2
83	4
88	6
105	2
144	6
165	6
169	9
176	4
190	1
Market 130
2	8
40	1
46	1
57	10
100	2
133	12
Market 51
7	3
13	1
18	1
38	11
60	11
73	7
96	13
97	4
101	13
145	1
155	5
178	8
181	5
183	4
187	1
Market 259
9	3
41	1
67	6
71	8
93	2
111	1
118	2
152	7
Market 113
25	12
30	11
34	7
45	11
101	6
113	11
126	11
146	12
161	9
168	2
171	5
187	2
193	3
Market 317
10	2
37	11
64	6
71	2
82	12
123	5
124	7
136	5
180	3
187	14
188	2
Market 333
4	6
11	12
54	9
59	3
68	11
87	15
129	11
143	1
158	3
162	7
172	9
178	2
192	7
194	1
Market 132
25	6
46	1
61	8
72	1
96	1
160	14
180	5
Depot
